Housing Type Category,Keywords
Studio,"Studio Apartment, Bachelors Apartment, Bedsitter, Studio, Bachelor, Bachelors"
Penthouse,Penthouse
Apartment,"Apartment, Flat"
Loft,Loft
Tiny home,TIny home
Condo,"Condo, Condominium"
Villa,"Luxury Villa, VIlla"
Hotel Room,"2-Bedroom Suite, Two-Bedroom Suite, Suite, Junior Suite, Studio Suite, Lodge, Lover's Bae, Single Room,Double Room, Executive suite, Queen Room, Twin Room, King Room, Hotel Room, Family Unit 3, Apartment with Garden View, 2-BEDROOM SUITE LAGOON VIEW SAFARI EXPERIENCE, Budget Single Room, Classic Double Room, Classic Quadruple Room with Sea View, Delux Room, Deluxe Double or Twin Room with side front Balcony, Deluxe Interconnecting Mont Meru View, Deluxe Room (1 adult + 1 child), Deluxe Suite with Sea View, Deluxe Twin Room with Sea View, Double Room (1 Adult + 1 Child), Dr. Zivago Senior Suite, Executive Premium Room, Executive Room, Heritage Suite, Hotel room, Interconnected The Rim Room Safari Experience with Spa Access, Lala Hobi Junior Suite, Large Single Room, Luxury Triple Room, Ngorongoro House Safari Experience with Spa Access, Ngorongoro Suite with Spa Access, Out of Africa Junior Suite, Premium King Room, Premium Room, Red Level Grand Suite, Single Room with Balcony, Standard Room, Standard Room with Balcony and Pool View, Stanley Club Room, Stanley Club Twin Room, Stanley Premium Club Room, Stanley Room, Stanley Twin Room, Superior Double or Twin Room with Sea View, Superior Room, Superior Room 1 Queen Bed Smoking, Superior Room 2 Double Beds Non Smoking, Superior Room Twin Beds Non Smoking, Superior Twin Room with Sea View, The Beatles Senior Suite, The Rim Room Safari Experience with Spa Access, The Rim Room with Spa Access, Three-Bedroom Suite with Lounge Access, Triple Room with Balcony, Triple Room with Mountain View, Twin Room at Annex Building, Two-Bedroom Apartment (Complimentary Breakfast For 2), Two-bedroomactivitya-bedroom suite"
Vacation Rental,"Guest House Room, The Dhow, Secluded Canopy, Hostel, Hostel Room, Entire Home, Entire Apartment, Entire Villa, Entire Cottage, Bed and Breakfast Room, Standard Tent, Deluxe Tent, Luxury Tent, Camping Tent, Shared Room in Apartment, Shared Room in House, Shared Room in Hostel, Bus"
Executive Suite,"Presidential Suite, Executive Suite"
House,"House, Houses, Single Family Home, Home, Family Home, Luxury Bungalow, Bungalow"
Townhouse,Townhouse
Duplex/Multiplex,"Triplex, Multiplex, Duplex"
Dormitory,"Single Bed Dormitory, Dormitory"
Cottage,"Luxury Cottage, Cottatge, Luxury Chalet, Chalet"
Agricultural Land,"Agricultural Land, Homestead"
Farmhouse,Farmhouse
Residential Land,Residential Land
Commercial Land,Commercial Land
Mixed-Use Land,"Mixed-Use Land, Land"
Commercial Property,"Shop, Office Space, Office, Warehouse, Restaurant, Mall, Office Building, Commercial Property, Co-working Space, Hall, Parking, Commercial/Retail"
Apartment Building,"Apartment Building, Building, Block of Flats"
Misc,"Church, Virtual Office, Other"